dtstart,dtend,dtstamp,organizer,uid,attendee,created,description,last-modified,location,sequence,status,summary,transp
"2020-07-13T23:00:00","2020-07-14T00:00:00","2024-03-25T08:46:59Z","","0jea6hitcodol5qak4umf5mb6o@google.com","","2020-07-11T12:08:29Z","","2020-10-11T11:35:25Z","Leeuweriklaan 41, 1403 CL Bussum, Netherlands","0","CONFIRMED","Lezen","OPAQUE"
"2020-07-21T22:00:00","2020-07-21T23:00:00","2024-03-25T08:46:59Z","","6ar1fvofh342s9h7k8ih40qe4t@google.com","","2020-07-11T12:08:12Z","","2020-10-11T11:35:44Z","Leeuweriklaan 41, 1403 CL Bussum, Netherlands","1","CONFIRMED","Cursus volgen","OPAQUE"
"2020-10-15T18:00:00Z","2020-10-15T20:00:00Z","2024-03-25T08:46:59Z","","64p66opic4r36b9jclj3ib9kcpj34b9ocksm6bb6cor66oj270pjcopo6k@google.com","","2020-10-11T11:37:48Z","","2020-10-11T11:37:55Z","","0","CONFIRMED","Cursus","OPAQUE"
"2020-11-23","2021-02-01","2024-03-25T08:46:59Z","","5e3nurq7lf12q4d5ngcq7m1e6b@google.com","","2020-11-23T16:12:26Z","","2020-11-23T16:12:36Z","","0","CONFIRMED","Calorieën bijhouden","TRANSPARENT"
"2020-10-22T11:00:00","2020-10-22T12:00:00","2024-03-25T08:46:59Z","","6776nj2r49obks3svrfvhmj4ka@google.com","","2020-10-22T13:36:54Z","","2020-12-19T17:08:15Z","","0","CONFIRMED","Zelfreflectie invullen","OPAQUE"
"2020-10-13T18:00:00","2020-10-13T19:30:00","2024-03-25T08:46:59Z","","e732l7bvfreef5342kj2a3i6oj@google.com","","2020-07-11T12:05:14Z","Een uurtje sporten, voor de spiertjes","2021-02-08T14:57:35Z","Fitness4me Bussum, Landstraat 45, 1404 JG Bussum, Netherlands","3","CONFIRMED","Sportschool","OPAQUE"
"2020-10-17T11:00:00","2020-10-17T12:30:00","2024-03-25T08:46:59Z","","3d56hgkqfhip1pai61hmkcvo4c@google.com","","2020-07-11T12:05:14Z","Een uurtje sporten, voor de spiertjes","2021-02-08T14:57:39Z","Fitness4me Bussum, Landstraat 45, 1404 JG Bussum, Netherlands","3","CONFIRMED","Sportschool","OPAQUE"
"2020-10-13T20:00:00","2020-10-13T22:00:00","2024-03-25T08:46:59Z","","c8ojiopn60s66b9h6sp66b9kc9hjibb269gj2b9j6op3ge1k6hi3aopmck@google.com","","2020-10-11T11:37:43Z","","2021-02-21T09:37:08Z","","1","CONFIRMED","Cursus","OPAQUE"
"2020-10-20T20:00:00","2020-10-20T22:00:00","2024-03-25T08:46:59Z","","c8ojiopn60s66b9h6sp66b9kc9hjibb269gj2b9j6op3ge1k6hi3aopmck_R20201020T180000@google.com","","2020-10-11T11:37:43Z","Planning:\n- https://docs.google.com/spreadsheets/d/1cepaqz0HCOcJrF5Gl3Gz9itLgR5eQNntnAvGu2sVapw/edit#gid=0","2021-02-21T09:37:08Z","","1","CONFIRMED","Cursus","OPAQUE"
"2021-02-28T09:30:00Z","2021-02-28T10:30:00Z","2024-03-25T08:46:59Z","","6ph34cj265ijgbb160o32b9k64qjebb16go62b9g70qj0eb2ccomaoho60@google.com","","2021-02-21T17:39:06Z","","2021-02-21T17:39:06Z","","0","CONFIRMED","Hardlopen met oudjes","OPAQUE"
"2020-10-12T08:30:00","2020-10-12T17:30:00","2024-03-25T08:46:59Z","","6phm6d1l6tim4bb66ti38b9kcosj2bb165j68b9p74qm2cj461hmcp346k@google.com","","2020-10-11T11:28:29Z","","2021-04-01T17:11:36Z","","0","CONFIRMED","Werken","OPAQUE"
"2021-04-08T08:30:00","2021-04-08T17:30:00","2024-03-25T08:46:59Z","","nq1vbpg93i9qcvsahelcddodql@google.com","","2020-10-11T11:28:29Z","","2021-04-16T14:21:24Z","","1","CONFIRMED","Werken","OPAQUE"
"2020-07-18T10:00:00","2020-07-18T16:00:00","2024-03-25T08:46:59Z","","1pa7gsj79gvf30dtqmu24so7iv@google.com","","2020-07-11T12:06:02Z","Werken voor eigen bedrijfje.\nDit bestaat uit:\n- Klanten helpen\n- Eigen website onderhoud","2021-04-25T09:31:09Z","Leeuweriklaan 41, 1403 CL Bussum, Netherlands","1","CONFIRMED","Werken (VonkProgramming","OPAQUE"
"2021-04-19T07:30:00","2021-04-19T17:30:00","2024-03-25T08:46:59Z","","qiupkmf4docs22kf5lmftfl3l3@google.com","","2020-10-11T11:28:29Z","","2021-04-25T09:44:16Z","","2","CONFIRMED","Werken","OPAQUE"
"2020-09-30T18:00:00","2020-09-30T22:00:00","2024-03-25T08:46:59Z","mailto:fek5vnl2rig23qm5e0f2odk1qo@group.calendar.google.com","551cibupibi773g04r34gtrpah@google.com","mailto:reyer.wouters@gmail.com;mailto:larserikvonk@ziggo.nl;mailto:fek5vnl2rig23qm5e0f2odk1qo@group.calendar.google.com","2020-09-30T16:50:09Z","Praatjes en roddeltjes over geld\n\n-::~:~::~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~::~:~::-\nJoin with Google Meet: https://meet.google.com/fdr-jvmj-poa\n\nLearn more about Meet at: https://support.google.com/a/users/answer/9282720\n\nPlease do not edit this section.\n-::~:~::~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~::~:~::-","2021-04-25T19:43:40Z","Leeuweriklaan 41, 1403 CL Bussum, Netherlands","1","CONFIRMED","Dutse meeting","OPAQUE"
"2021-01-20T18:00:00","2021-01-20T22:00:00","2024-03-25T08:46:59Z","mailto:fek5vnl2rig23qm5e0f2odk1qo@group.calendar.google.com","551cibupibi773g04r34gtrpah_R20201014T160000@google.com","mailto:reyer.wouters@gmail.com;mailto:larserikvonk@ziggo.nl;mailto:fek5vnl2rig23qm5e0f2odk1qo@group.calendar.google.com","2020-09-30T16:50:09Z","Praatjes en roddeltjes over geld\n\n-::~:~::~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~::~:~::-\nJoin with Google Meet: https://meet.google.com/fdr-jvmj-poa\n\nLearn more about Meet at: https://support.google.com/a/users/answer/9282720\n\nPlease do not edit this section.\n-::~:~::~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~::~:~::-","2021-04-25T19:43:40Z","Leeuweriklaan 41, 1403 CL Bussum, Netherlands","1","CONFIRMED","Dutse meeting","OPAQUE"
"2021-04-28T10:00:00","2021-04-28T16:00:00","2024-03-25T08:46:59Z","","onvfntiegpkig4cubeq80dilk4@google.com","","2020-07-11T12:06:02Z","Werken voor eigen bedrijfje.\nDit bestaat uit:\n- Klanten helpen\n- Eigen website onderhoud","2021-06-27T18:42:03Z","Leeuweriklaan 41, 1403 CL Bussum, Netherlands","3","CONFIRMED","Werken (VonkProgramming","OPAQUE"
"2021-06-23T09:00:00","2021-06-23T17:00:00","2024-03-25T08:46:59Z","","oqv68qt6tt1d4t76p3qvtmlqc3@google.com","","2020-07-11T12:06:02Z","Werken voor eigen bedrijfje.\nDit bestaat uit:\n- Klanten helpen\n- Eigen website onderhoud","2021-06-27T18:42:03Z","Leeuweriklaan 41, 1403 CL Bussum, Netherlands","4","CONFIRMED","Werken (VonkProgramming","OPAQUE"
"2021-04-26T07:30:00","2021-04-26T17:30:00","2024-03-25T08:46:59Z","","u40v0ho6vjg016aerignlosvqb@google.com","","2020-10-11T11:28:29Z","","2021-10-20T15:54:37Z","","3","CONFIRMED","Werken","OPAQUE"
"2021-10-21T08:30:00","2021-10-21T18:00:00","2024-03-25T08:46:59Z","","8n8f8466j6gekb52jc6tt0os51@google.com","","2020-10-11T11:28:29Z","","2022-01-09T08:16:56Z","","4","CONFIRMED","Werken","OPAQUE"
"2022-01-10T08:30:00Z","2022-01-10T09:15:00Z","2024-03-25T08:46:59Z","","69im4cph74r3eb9i6kpmab9kchhjab9p6gr68b9k74p3iohi6cr3edj574@google.com","","2022-01-10T08:32:03Z","","2022-01-10T08:32:03Z","","0","CONFIRMED","Wekelijkse Quintor standup","OPAQUE"
"2022-01-16T12:30:00Z","2022-01-16T13:30:00Z","2024-03-25T08:46:59Z","","64rjephh6ksj6b9n70o34b9kc4pmcbb2ckojgb9pc9j30c1k71ij2dj1c8@google.com","","2022-01-15T17:11:23Z","","2022-01-15T17:11:23Z","","0","CONFIRMED","Corona test","OPAQUE"
"2022-01-16T11:00:00Z","2022-01-16T12:00:00Z","2024-03-25T08:46:59Z","","6lim6d9l6lh38b9gchhj4b9k6co38bb2chj3ib9l6cqjidhocgo62p9l60@google.com","","2022-01-12T00:31:34Z","","2022-01-15T17:11:47Z","Teleportboulevard 0","0","CONFIRMED","Beginnen met podcast","OPAQUE"
"2021-06-30T09:00:00","2021-06-30T17:00:00","2024-03-25T08:46:59Z","","41kvokrcj0bpanptrb01sq85qc@google.com","","2020-07-11T12:06:02Z","Werken voor eigen bedrijfje.\nDit bestaat uit:\n- Klanten helpen\n- Eigen website onderhoud","2022-04-11T10:38:16Z","Leeuweriklaan 41, 1403 CL Bussum, Netherlands","4","CONFIRMED","Werken (VonkProgramming)","OPAQUE"
"2022-04-12T08:00:00","2022-04-12T17:30:00","2024-03-25T08:46:59Z","","klskmqg8149b78oruqci51k9q7@google.com","","2020-10-11T11:28:29Z","","2022-04-11T10:38:31Z","","6","CONFIRMED","Werken","OPAQUE"
"2022-01-10T08:00:00","2022-01-10T17:30:00","2024-03-25T08:46:59Z","","s3noju1khvl0l8l0c7el1pgmji@google.com","","2020-10-11T11:28:29Z","","2022-04-11T10:38:31Z","","5","CONFIRMED","Werken","OPAQUE"
"2022-04-11T18:00:00","2022-04-11T19:00:00","2024-03-25T08:46:59Z","","40kfdsvvej4gcbrqslhsfbhb0l@google.com","","2022-04-11T10:35:57Z","","2022-07-04T02:43:12Z","","0","CONFIRMED","Overleg FietsTracker","OPAQUE"
"2022-05-03T20:00:00","2022-05-03T21:00:00","2024-03-25T08:46:59Z","","22931rhcvg3a9jb4u8d9558e54@google.com","","2022-05-02T07:12:47Z","","2022-09-11T14:08:43Z","","0","CONFIRMED","Waterpolo","OPAQUE"
"2022-09-20T21:00:00","2022-09-20T22:00:00","2024-03-25T08:46:59Z","","22931rhcvg3a9jb4u8d9558e54@google.com","","2022-05-02T07:12:47Z","","2022-09-11T14:08:43Z","","1","CONFIRMED","Waterpolo","OPAQUE"
"2022-05-04T21:00:00","2022-05-04T22:00:00","2024-03-25T08:46:59Z","","7pomg1rm44ge46875f3th2rip4@google.com","","2022-05-02T07:13:02Z","","2022-09-28T12:31:48Z","","0","CONFIRMED","Waterpolo","OPAQUE"
"2022-09-27T21:00:00","2022-09-27T22:00:00","2024-03-25T08:46:59Z","","7mmn9kev31rmdbo4ad76sl00i4@google.com","","2022-05-02T07:12:47Z","","2022-09-28T12:32:13Z","","1","CONFIRMED","Waterpolo","OPAQUE"
"2021-04-28T07:30:00","2021-04-28T09:30:00","2024-03-25T08:46:59Z","","k5croucmqsih58vgn6avqrmres@google.com","","2021-03-23T09:10:34Z","","2023-01-26T03:04:52Z","","3","CONFIRMED","Langeafstand hardlopen","OPAQUE"
"2022-02-04T19:00:00","2022-02-04T20:00:00","2024-03-25T08:46:59Z","","7qgcn1nmi3n9rh2kh59fr42gb7@google.com","","2022-02-03T10:51:35Z","","2023-01-26T03:04:54Z","","1","CONFIRMED","Cursus uurtje","OPAQUE"
"2021-07-18T21:00:00","2021-07-18T22:00:00","2024-03-25T08:46:59Z","","2gsj04ra7j54t8uc5dp7pfgl9o@google.com","","2021-07-15T19:19:32Z","","2023-01-26T03:04:55Z","","2","CONFIRMED","Webcursus volgen","OPAQUE"
"2020-10-14T18:00:00","2020-10-14T22:00:00","2024-03-25T08:46:59Z","mailto:fek5vnl2rig23qm5e0f2odk1qo@group.calendar.google.com","551cibupibi773g04r34gtrpah_R20201014T160000@google.com","mailto:reyer.wouters@gmail.com;mailto:larserikvonk@ziggo.nl;mailto:fek5vnl2rig23qm5e0f2odk1qo@group.calendar.google.com","2020-09-30T16:50:09Z","Praatjes en roddeltjes over geld\n\n-::~:~::~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~::~:~::-\nJoin with Google Meet: https://meet.google.com/fdr-jvmj-poa\n\nLearn more about Meet at: https://support.google.com/a/users/answer/9282720\n\nPlease do not edit this section.\n-::~:~::~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~::~:~::-","2023-01-26T03:04:56Z","Leeuweriklaan 41, 1403 CL Bussum, Netherlands","1","CONFIRMED","Dutse meeting","OPAQUE"
"2021-03-05T18:00:00Z","2021-03-07T18:00:00Z","2024-03-25T08:46:59Z","mailto:fek5vnl2rig23qm5e0f2odk1qo@group.calendar.google.com","c4o36ohlcdim8b9ocksj2b9k6thjcbb161gmab9k64pj8ohk6comcp1gc4@google.com","mailto:m.kolb@live.nl","2021-02-13T13:57:34Z","-::~:~::~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~::~:~::-\nJoin with Google Meet: https://meet.google.com/kmm-napo-xee\n\nLearn more about Meet at: https://support.google.com/a/users/answer/9282720\n\nPlease do not edit this section.\n-::~:~::~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~::~:~::-","2023-01-26T03:04:57Z","","1","CONFIRMED","48 uur vasten","OPAQUE"
"2021-05-02T12:00:00","2021-05-02T14:00:00","2024-03-25T08:46:59Z","","4fsv05rpmouirof9hkfe5671ba@google.com","","2021-04-25T09:32:34Z","","2023-01-26T03:04:59Z","","1","CONFIRMED","Langeafstand hardlopen","OPAQUE"
"2021-06-28T20:00:00","2021-06-28T21:00:00","2024-03-25T08:46:59Z","mailto:fek5vnl2rig23qm5e0f2odk1qo@group.calendar.google.com","3mlj9k1ier1iv9d45s10cnqt06@google.com","mailto:larserikvonk@ziggo.nl;mailto:jamalkarraz@icloud.com","2021-06-24T15:09:13Z","-::~:~::~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~::~:~::-\nJoin with Google Meet: https://meet.google.com/ggg-ouzb-bsf\n\nLearn more about Meet at: https://support.google.com/a/users/answer/9282720\n\nPlease do not edit this section.\n-::~:~::~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~::~:~::-","2023-01-26T03:05:00Z","","1","CONFIRMED","Vergaderen met Jamal over software","OPAQUE"
"2021-10-21T06:30:00","2021-10-21T08:00:00","2024-03-25T08:46:59Z","","a99cit8co4tf61a3cnr1cbvcd5@google.com","","2021-04-25T09:34:21Z","Stappen \n- Bed opmaken\n- Gymmen\n- Koud douchen\n- Opruimen","2023-01-26T03:05:01Z","","1","CONFIRMED","Ochtendroutine","OPAQUE"
"2021-04-26T06:30:00","2021-04-26T07:30:00","2024-03-25T08:46:59Z","","26u7an3h75oe78ck26fr01iu0c@google.com","","2021-04-25T09:34:21Z","Stappen \n- Bed opmaken\n- 5KM rennen\n- Koud douchen\n- Opruimen","2023-01-26T03:05:02Z","","0","CONFIRMED","Ochtendroutine","OPAQUE"
"2022-04-14T09:00:00","2022-04-14T17:00:00","2024-03-25T08:46:59Z","","blh10hg2as9d256l1me9plbsce@google.com","","2020-07-11T12:06:02Z","Werken voor eigen bedrijfje.\nDit bestaat uit:\n- Klanten helpen\n- Eigen website onderhoud","2023-01-26T09:36:59Z","Leeuweriklaan 41, 1403 CL Bussum, Netherlands","5","CONFIRMED","Werken (VonkProgramming)","OPAQUE"
"2022-12-26T09:15:00","2022-12-26T17:15:00","2024-03-25T08:46:59Z","","blh10hg2as9d256l1me9plbsce@google.com","","2020-07-11T12:06:02Z","Werken voor eigen bedrijfje.\nDit bestaat uit:\n- Klanten helpen\n- Eigen website onderhoud","2023-01-26T09:36:59Z","Leeuweriklaan 41, 1403 CL Bussum, Netherlands","6","CONFIRMED","Werken (VonkProgramming)","OPAQUE"
"2022-04-15T08:00:00","2022-04-15T17:30:00","2024-03-25T08:46:59Z","","96s01kui8s0c8lru0f9mgs05ag@google.com","","2020-10-11T11:28:29Z","","2023-01-26T09:37:11Z","","6","CONFIRMED","Werken","OPAQUE"
"2022-09-28T21:00:00","2022-09-28T22:00:00","2024-03-25T08:46:59Z","","flr4vgj66tsd7ihd32t7mfom0u@google.com","","2022-05-02T07:13:02Z","","2023-07-13T07:23:29Z","","1","CONFIRMED","Waterpolo","OPAQUE"
"2023-01-26T08:00:00","2023-01-26T17:30:00","2024-03-25T08:46:59Z","","224nstehtms9l6cuk55c6rl3t9@google.com","","2020-10-11T11:28:29Z","","2023-08-28T07:12:13Z","","7","CONFIRMED","Werken","OPAQUE"
"2023-08-18T07:45:00","2023-08-18T17:15:00","2024-03-25T08:46:59Z","","224nstehtms9l6cuk55c6rl3t9@google.com","","2020-10-11T11:28:29Z","","2023-08-28T07:12:13Z","","8","CONFIRMED","Werken","OPAQUE"
"2023-01-25T09:00:00","2023-01-25T17:00:00","2024-03-25T08:46:59Z","","et18utqa4ivkviu3os4dend3ri@google.com","","2020-07-11T12:06:02Z","Werken voor eigen bedrijfje.\nDit bestaat uit:\n- Klanten helpen\n- Eigen website onderhoud","2023-08-28T07:12:21Z","Leeuweriklaan 41, 1403 CL Bussum, Netherlands","6","CONFIRMED","Werken (VonkProgramming)","OPAQUE"
"2023-03-15T09:00:00","2023-03-15T17:00:00","2024-03-25T08:46:59Z","","et18utqa4ivkviu3os4dend3ri@google.com","","2020-07-11T12:06:02Z","Werken voor eigen bedrijfje.\nDit bestaat uit:\n- Klanten helpen\n- Eigen website onderhoud","2023-08-28T07:12:21Z","Leeuweriklaan 41, 1403 CL Bussum, Netherlands","8","CONFIRMED","Werken (VonkProgramming)","OPAQUE"
"2023-07-19T09:15:00","2023-07-19T17:15:00","2024-03-25T08:46:59Z","","et18utqa4ivkviu3os4dend3ri@google.com","","2020-07-11T12:06:02Z","Werken voor eigen bedrijfje.\nDit bestaat uit:\n- Klanten helpen\n- Eigen website onderhoud","2023-08-28T07:12:21Z","Leeuweriklaan 41, 1403 CL Bussum, Netherlands","7","CONFIRMED","Werken (VonkProgramming)","OPAQUE"
"2023-11-13T11:15:00Z","2023-11-13T13:00:00Z","2024-03-25T08:46:59Z","","sm-6297738@apps.usos.pw.edu.pl","","2023-10-03T14:42:25Z","Room: 202\nBudynek Wydziału Elektroniki i Technik Informacyjnych\n\nhttps://usosweb.usos.pw.edu.pl/kontroler.php?_action=katalog2/przedmioty/pokazZajecia&gr_nr=1&zaj_cyk_id=460354\n","2023-10-03T12:43:11Z","Nowowiejska 15/19, 00-665 Warszawa","0","CONFIRMED","WYK - Image and Speech Recognition","OPAQUE"
"2023-10-10T08:15:00Z","2023-10-10T10:00:00Z","2024-03-25T08:46:59Z","","sm-6298293@apps.usos.pw.edu.pl","","2023-10-03T14:42:25Z","Room: 416\nBudynek Wydziału Elektroniki i Technik Informacyjnych\n\nhttps://usosweb.usos.pw.edu.pl/kontroler.php?_action=katalog2/przedmioty/pokazZajecia&gr_nr=101&zaj_cyk_id=460368\n","2023-10-03T12:43:11Z","Nowowiejska 15/19, 00-665 Warszawa","0","CONFIRMED","PRO - Evolutionary Algorithms","OPAQUE"
"2023-11-14T07:15:00Z","2023-11-14T09:00:00Z","2024-03-25T08:46:59Z","","sm-6298461@apps.usos.pw.edu.pl","","2023-10-03T14:42:25Z","Room: 121\nBudynek Wydziału Elektroniki i Technik Informacyjnych\n\nhttps://usosweb.usos.pw.edu.pl/kontroler.php?_action=katalog2/przedmioty/pokazZajecia&gr_nr=1&zaj_cyk_id=460307\n","2023-10-03T12:43:11Z","Nowowiejska 15/19, 00-665 Warszawa","0","CONFIRMED","WYK - Pattern Recognition","OPAQUE"
"2023-10-10T14:15:00Z","2023-10-10T18:00:00Z","2024-03-25T08:46:59Z","","sm-6298674@apps.usos.pw.edu.pl","","2023-10-03T14:42:25Z","Room: 9B\nBudynek Wydziału Elektroniki i Technik Informacyjnych\n\nhttps://usosweb.usos.pw.edu.pl/kontroler.php?_action=katalog2/przedmioty/pokazZajecia&gr_nr=102&zaj_cyk_id=460185\n","2023-10-03T12:43:11Z","Nowowiejska 15/19, 00-665 Warszawa","0","CONFIRMED","LAB - Digital Signal Processor Architecture and Programming","OPAQUE"
"2023-10-30T11:15:00Z","2023-10-30T13:00:00Z","2024-03-25T08:46:59Z","","sm-6298701@apps.usos.pw.edu.pl","","2023-10-03T14:42:25Z","Room: 202\nBudynek Wydziału Elektroniki i Technik Informacyjnych\n\nhttps://usosweb.usos.pw.edu.pl/kontroler.php?_action=katalog2/przedmioty/pokazZajecia&gr_nr=1&zaj_cyk_id=460354\n","2023-10-03T12:43:11Z","Nowowiejska 15/19, 00-665 Warszawa","0","CONFIRMED","WYK - Image and Speech Recognition","OPAQUE"
"2023-10-31T11:15:00Z","2023-10-31T13:00:00Z","2024-03-25T08:46:59Z","","sm-6299079@apps.usos.pw.edu.pl","","2023-10-03T14:42:25Z","Room: 6\nBudynek Wydziału Elektroniki i Technik Informacyjnych\n\nhttps://usosweb.usos.pw.edu.pl/kontroler.php?_action=katalog2/przedmioty/pokazZajecia&gr_nr=1&zaj_cyk_id=460369\n","2023-10-03T12:43:11Z","Nowowiejska 15/19, 00-665 Warszawa","0","CONFIRMED","WYK - Evolutionary Algorithms","OPAQUE"
"2023-10-24T06:15:00Z","2023-10-24T08:00:00Z","2024-03-25T08:46:59Z","","sm-6299251@apps.usos.pw.edu.pl","","2023-10-03T14:42:25Z","Room: 121\nBudynek Wydziału Elektroniki i Technik Informacyjnych\n\nhttps://usosweb.usos.pw.edu.pl/kontroler.php?_action=katalog2/przedmioty/pokazZajecia&gr_nr=1&zaj_cyk_id=460307\n","2023-10-03T12:43:11Z","Nowowiejska 15/19, 00-665 Warszawa","0","CONFIRMED","WYK - Pattern Recognition","OPAQUE"
"2023-11-20T11:15:00Z","2023-11-20T13:00:00Z","2024-03-25T08:46:59Z","","sm-6299991@apps.usos.pw.edu.pl","","2023-10-03T14:42:25Z","Room: 202\nBudynek Wydziału Elektroniki i Technik Informacyjnych\n\nhttps://usosweb.usos.pw.edu.pl/kontroler.php?_action=katalog2/przedmioty/pokazZajecia&gr_nr=1&zaj_cyk_id=460354\n","2023-10-03T12:43:11Z","Nowowiejska 15/19, 00-665 Warszawa","0","CONFIRMED","WYK - Image and Speech Recognition","OPAQUE"
"2023-11-06T11:15:00Z","2023-11-06T13:00:00Z","2024-03-25T08:46:59Z","","sm-6300200@apps.usos.pw.edu.pl","","2023-10-03T14:42:25Z","Room: 202\nBudynek Wydziału Elektroniki i Technik Informacyjnych\n\nhttps://usosweb.usos.pw.edu.pl/kontroler.php?_action=katalog2/przedmioty/pokazZajecia&gr_nr=1&zaj_cyk_id=460354\n","2023-10-03T12:43:11Z","Nowowiejska 15/19, 00-665 Warszawa","0","CONFIRMED","WYK - Image and Speech Recognition","OPAQUE"
"2023-10-23T10:15:00Z","2023-10-23T12:00:00Z","2024-03-25T08:46:59Z","","sm-6300424@apps.usos.pw.edu.pl","","2023-10-03T14:42:25Z","Room: 202\nBudynek Wydziału Elektroniki i Technik Informacyjnych\n\nhttps://usosweb.usos.pw.edu.pl/kontroler.php?_action=katalog2/przedmioty/pokazZajecia&gr_nr=1&zaj_cyk_id=460354\n","2023-10-03T12:43:11Z","Nowowiejska 15/19, 00-665 Warszawa","0","CONFIRMED","WYK - Image and Speech Recognition","OPAQUE"
